#,id,Player,age,Nation_map,DF,FW,MF,Position_map,Team_map,Leag_map,90s,Gls,Ast,G+A,G-PK,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Blocks,Pass,Int,Tkl+Int,Clr,Err,Sh,SoT,Dist,FK,xG,SCA,SCA90,PassLive,Sh_Sh,GCA,value
791,pedro_obiang_31,Pedro Obiang,31,80,0,0,1,2,30,2,9.7,0,1,1,0,0.4,0.2,0.6,0,40,6,0.1,26.00,17.00,12.00,12.00,2.00,12.00,10.00,8.00,34.00,15.00,0.00,7.00,0.00,19.90,0.00,0.40,11.00,1.13,9.00,1.00,1.00,800000.00
802,flavio_paoletti_20,Flavio Paoletti,20,42,0,0,1,2,36,2,3.2,0,0,0,0,0,0,0,7,8,8,0,2.00,2.00,0.00,2.00,0.00,1.00,1.00,5.00,7.00,9.00,0.00,0.00,0.00,,0.00,0.00,4.00,1.25,4.00,0.00,0.00,800000.00
849,tomas_rincon_35,Tomás Rincón,35,53,0,0,1,2,36,2,28.4,0,2,2,0,0.6,1.2,1.8,27,122,35,0.07,56.00,27.00,22.00,26.00,8.00,37.00,30.00,1.29,86.00,18.00,0.00,11.00,3.00,22.00,0.00,0.60,39.00,1.37,35.00,1.00,3.00,800000.00
1086,carlos_dominguez_22,Carlos Dominguez,22,10,1,0,0,3,45,3,1.2,0,0,0,0,0,0,0,0,2,0,0,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,7.00,0.00,1.00,1.00,21.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,800000.00
1147,clement_grenier_32,Clément Grenier,32,5,0,0,1,2,54,3,8,0,0,0,0,0.2,1.1,1.3,4,40,26,0,20.00,8.00,6.00,12.00,2.00,9.00,8.00,6.00,26.00,7.00,0.00,3.00,2.00,23.10,1.00,0.20,18.00,2.26,11.00,0.00,1.00,800000.00
1235,alberto_mari_22,Alberto Marí,22,10,0,1,1,4,53,3,1,1,0,1,1,0.2,0,0.2,1,1,6,1.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,1.00,10.70,0.00,0.20,0.00,0.00,0.00,0.00,0.00,800000.00
1274,diego_moreno_22,Diego Moreno,22,10,1,0,0,3,56,3,7.1,0,0,0,0,0.4,0.2,0.6,9,14,19,0,4.00,4.00,2.00,2.00,0.00,7.00,3.00,1.40,9.00,21.00,0.00,5.00,1.00,20.60,0.00,0.40,7.00,0.99,4.00,0.00,0.00,800000.00
1287,juanjo_narvaez_28,Juanjo Narváez,28,35,0,1,1,4,44,3,1.6,0,0,0,0,0.2,0,0.2,0,0,9,0,1.00,1.00,1.00,0.00,0.00,2.00,2.00,12.30,1.00,0.00,0.00,3.00,0.00,10.60,0.00,0.20,0.00,0.00,0.00,0.00,0.00,800000.00
1320,lucas_perez_34,Lucas Pérez,34,10,0,1,0,1,48,3,7,3,0,3,3,2,0.6,2.5,8,14,24,0.43,3.00,2.00,2.00,1.00,0.00,2.00,2.00,1.00,4.00,3.00,0.00,17.00,6.00,18.80,4.00,2.00,16.00,2.29,11.00,1.00,0.00,800000.00
1363,franco_russo_28,Franco Russo,28,11,1,0,0,3,54,3,1.6,0,0,0,0,0,0,0,0,1,0,0,2.00,1.00,2.00,0.00,0.00,5.00,5.00,3.00,5.00,5.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,800000.00
1371,ivan_sanchez_30,Iván Sánchez,30,10,0,1,1,4,44,3,12.8,1,1,2,1,0.8,1.6,2.4,58,65,61,0.16,20.00,14.00,8.00,8.00,4.00,14.00,13.00,1.70,28.00,4.00,0.00,17.00,7.00,22.60,0.00,0.80,42.00,3.38,31.00,2.00,2.00,800000.00
1384,dyego_sousa_33,Dyego Sousa,33,31,0,1,0,1,46,3,5.9,0,1,1,0,1.2,1,2.2,10,16,39,0.17,10.00,6.00,5.00,4.00,1.00,4.00,2.00,1.00,11.00,14.00,0.00,13.00,4.00,14.20,0.00,1.20,14.00,2.39,11.00,1.00,1.00,800000.00
853,simone_romagnoli_33,Simone Romagnoli,33,42,1,0,0,3,35,2,1.9,0,0,0,0,0,0,0,0,5,0,0,6.00,5.00,3.00,3.00,0.00,4.00,3.00,12.31,7.00,11.00,0.00,1.00,0.00,11.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,750000.00
564,michele_castagnetti_33,Michele Castagnetti,33,42,0,0,1,2,26,2,15.7,0,1,1,0,0.6,1.8,2.5,14,120,10,0.06,46.00,21.00,20.00,24.00,2.00,14.00,10.00,15.00,61.00,22.00,0.00,12.00,1.00,26.60,2.00,0.60,57.00,3.63,45.00,5.00,3.00,700000.00
575,tio_cipot_20,Tio Cipot,20,64,0,1,1,4,27,2,1.5,0,0,0,0,0,0.1,0.2,5,5,17,0,12.00,7.00,6.00,3.00,3.00,0.00,0.00,0.00,12.00,2.00,0.00,2.00,1.00,30.00,0.00,0.00,4.00,2.59,4.00,0.00,0.00,700000.00
589,marco_d'alessandro_32,Marco D'Alessandro,32,42,1,1,0,6,33,2,3.2,0,0,0,0,0.3,0.2,0.5,14,3,19,0,4.00,4.00,3.00,1.00,0.00,2.00,2.00,1.00,5.00,3.00,0.00,4.00,1.00,16.10,0.00,0.30,8.00,2.49,7.00,0.00,1.00,700000.00
1111,federico_fernandez_34,Federico Fernández,34,11,1,0,0,3,57,3,1,0,0,0,0,0,0,0,0,0,0,0,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.10,3.00,12.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,700000.00
1248,mamadou_mbaye_25,Mamadou Mbaye,25,40,1,0,0,3,48,3,8.4,0,0,0,0,0.1,0.2,0.3,2,13,1,0,10.00,7.00,7.00,3.00,0.00,10.00,2.00,1.60,17.00,50.00,1.00,1.00,0.00,6.50,0.00,0.10,4.00,0.47,2.00,0.00,1.00,700000.00
1417,gonzalo_verdu_34,Gonzalo Verdú,34,10,1,0,0,3,57,3,7.8,1,0,1,1,0.6,0,0.6,0,13,0,0.13,10.00,5.00,8.00,2.00,0.00,8.00,2.00,1.90,20.00,33.00,0.00,9.00,2.00,12.20,1.00,0.60,3.00,0.38,2.00,0.00,0.00,700000.00
773,salvatore_molina_31,Salvatore Molina,31,42,1,0,0,3,33,2,2.5,0,0,0,0,0,0.1,0.1,9,7,22,0,6.00,5.00,2.00,4.00,0.00,4.00,2.00,12.31,7.00,2.00,0.00,1.00,0.00,16.10,0.00,0.00,5.00,1.97,5.00,0.00,1.00,650000.00
81,jack_colback_33,Jack Colback,33,3,0,0,1,2,15,1,5.5,0,0,0,0,0,0.2,0.2,5,16,3,0,18.00,13.00,12.00,6.00,0.00,3.00,3.00,3.00,21.00,9.00,0.00,0.00,0.00,,0.00,0.00,3.00,0.54,3.00,0.00,0.00,600000.00
467,ashley_young_38,Ashley Young,38,3,1,0,0,3,16,1,22.6,1,0,1,1,0.5,1,1.4,29,107,33,0.04,50.00,27.00,34.00,15.00,1.00,25.00,14.00,21.00,71.00,65.00,0.00,15.00,3.00,25.10,0.00,0.50,40.00,1.77,34.00,1.00,2.00,600000.00
